game_key,hp_1,hp_2,hp_3,h1_1,h1_2,h1_3,h2_1,h2_2,h2_3,h3_1,h3_2,h3_3,h4_1,h4_2,h4_3,h5_1,h5_2,h5_3,h6_1,h6_2,h6_3,h7_1,h7_2,h7_3,h8_1,h8_2,h8_3,h9_1,h9_2,h9_3,ap_1,ap_2,ap_3,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a3_3,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a6_1,a6_2,a6_3,a7_1,a7_2,a7_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3,hit_r,r,l
20160414OBHH0,10,10,0,0.375,0.444444444,0.5,0.275,0.325581395,0.375,1,1,2,0.282051282,0.395833333,0.384615385,0,0,0,0.311111111,0.340425532,0.422222222,0.3,0.363636364,0.475,0.296296296,0.344827586,0.481481481,0.421052632,0.45,0.684210526,2.189189189,1.135135135,5.333333333,0.270833333,0.31372549,0.333333333,0.222222222,0.340909091,0.333333333,0.317073171,0.428571429,0.634146341,0.216216216,0.347826087,0.351351351,0.257142857,0.380952381,0.571428571,0.333333333,0.414634146,0.388888889,0.523809524,0.615384615,0.761904762,0.2,0.2,0.8,0.272727273,0.375,0.303030303,0.161290323,2,17
20160414OBHH0,2.189189189,1.135135135,5.333333333,0.270833333,0.31372549,0.333333333,0.222222222,0.340909091,0.333333333,0.317073171,0.428571429,0.634146341,0.216216216,0.347826087,0.351351351,0.257142857,0.380952381,0.571428571,0.333333333,0.414634146,0.388888889,0.523809524,0.615384615,0.761904762,0.2,0.2,0.8,0.272727273,0.375,0.303030303,10,10,0,0.375,0.444444444,0.5,0.275,0.325581395,0.375,1,1,2,0.282051282,0.395833333,0.384615385,0,0,0,0.311111111,0.340425532,0.422222222,0.3,0.363636364,0.475,0.296296296,0.344827586,0.481481481,0.421052632,0.45,0.684210526,0.341463415,17,2
20160415LGHH0,2.53125,1.5,1.25,0.25,0.307692308,0.333333333,0.363636364,0.391304348,0.590909091,0.44,0.548387097,0.6,0.302325581,0.403846154,0.395348837,0.295454545,0.340425532,0.386363636,0.279069767,0.340425532,0.441860465,0.275862069,0.322580645,0.448275862,0.227272727,0.32,0.409090909,0.25,0.307692308,0.333333333,6.75,1.5,0.666666667,0.275,0.387755102,0.325,0.333333333,0.35,0.435897436,0.25,0.386363636,0.333333333,0.321428571,0.387096774,0.607142857,0.358974359,0.422222222,0.666666667,0.428571429,0.636363636,0.714285714,0.166666667,0.285714286,0.166666667,0.230769231,0.333333333,0.230769231,0.25,0.4,0.625,0.272727273,2,18
20160415LGHH0,6.75,1.5,0.666666667,0.275,0.387755102,0.325,0.333333333,0.35,0.435897436,0.25,0.386363636,0.333333333,0.321428571,0.387096774,0.607142857,0.358974359,0.422222222,0.666666667,0.428571429,0.636363636,0.714285714,0.166666667,0.285714286,0.166666667,0.230769231,0.333333333,0.230769231,0.25,0.4,0.625,2.53125,1.5,1.25,0.25,0.307692308,0.333333333,0.363636364,0.391304348,0.590909091,0.44,0.548387097,0.6,0.302325581,0.403846154,0.395348837,0.295454545,0.340425532,0.386363636,0.279069767,0.340425532,0.441860465,0.275862069,0.322580645,0.448275862,0.227272727,0.32,0.409090909,0.25,0.307692308,0.333333333,0.431818182,18,2
20160415LTNC0,1.125,1.125,3.5,0.259259259,0.310344828,0.259259259,0.157894737,0.255813953,0.263157895,0.333333333,0.369565217,0.5,0.236842105,0.340909091,0.421052632,0.388888889,0.488372093,0.694444444,0.272727273,0.357142857,0.545454545,0.277777778,0.333333333,0.472222222,0,0.125,0,0.178571429,0.206896552,0.214285714,5.586206897,1.655172414,3,0.367346939,0.425925926,0.591836735,0.482758621,0.571428571,0.620689655,0.263157895,0.282051282,0.368421053,0.295454545,0.37254902,0.568181818,0.26,0.301886792,0.3,0.352941176,0.394736842,0.382352941,0,0,0,0.272727273,0.333333333,0.272727273,0,0,0,0.28125,3,0
20160415LTNC0,5.586206897,1.655172414,3,0.367346939,0.425925926,0.591836735,0.482758621,0.571428571,0.620689655,0.263157895,0.282051282,0.368421053,0.295454545,0.37254902,0.568181818,0.26,0.301886792,0.3,0.352941176,0.394736842,0.382352941,0,0,0,0.272727273,0.333333333,0.272727273,0,0,0,1.125,1.125,3.5,0.259259259,0.310344828,0.259259259,0.157894737,0.255813953,0.263157895,0.333333333,0.369565217,0.5,0.236842105,0.340909091,0.421052632,0.388888889,0.488372093,0.694444444,0.272727273,0.357142857,0.545454545,0.277777778,0.333333333,0.472222222,0,0.125,0,0.178571429,0.206896552,0.214285714,0.129032258,0,3
20160415SKKT0,2.769230769,1,2.333333333,0.25,0.413043478,0.277777778,0.272727273,0.288888889,0.318181818,0.258064516,0.323529412,0.483870968,0.357142857,0.416666667,0.452380952,0.317073171,0.416666667,0.585365854,0.25,0.375,0.53125,0.295454545,0.41509434,0.522727273,0.2,0.272727273,0.3,0.219512195,0.23255814,0.365853659,3.970588235,1.5,1.2,0.310344828,0.393939394,0.344827586,0.205882353,0.317073171,0.264705882,0.25,0.403846154,0.4,0.244444444,0.31372549,0.488888889,0.266666667,0.34,0.466666667,0.275,0.387755102,0.3,0.204545455,0.255319149,0.431818182,0.325,0.377777778,0.525,0.222222222,0.317073171,0.333333333,0.212121212,3,7
20160415SKKT0,3.970588235,1.5,1.2,0.310344828,0.393939394,0.344827586,0.205882353,0.317073171,0.264705882,0.25,0.403846154,0.4,0.244444444,0.31372549,0.488888889,0.266666667,0.34,0.466666667,0.275,0.387755102,0.3,0.204545455,0.255319149,0.431818182,0.325,0.377777778,0.525,0.222222222,0.317073171,0.333333333,2.769230769,1,2.333333333,0.25,0.413043478,0.277777778,0.272727273,0.288888889,0.318181818,0.258064516,0.323529412,0.483870968,0.357142857,0.416666667,0.452380952,0.317073171,0.416666667,0.585365854,0.25,0.375,0.53125,0.295454545,0.41509434,0.522727273,0.2,0.272727273,0.3,0.219512195,0.23255814,0.365853659,0.290322581,7,3
20160415SSOB0,12.46153846,2.538461538,2,0.274509804,0.350877193,0.352941176,0.292682927,0.4,0.414634146,0.304347826,0.407407407,0.652173913,0.195121951,0.333333333,0.317073171,0.48,0.580645161,0.8,0.307692308,0.4,0.358974359,0.185185185,0.185185185,0.222222222,0.333333333,0.5,0.333333333,0.297297297,0.386363636,0.405405405,8.217391304,2.608695652,0.571428571,0.391304348,0.5,0.652173913,0.238095238,0.29787234,0.30952381,0.365853659,0.4375,0.56097561,0.340909091,0.431372549,0.545454545,0.25,0.347826087,0.35,0.25,0.294117647,0.375,0.666666667,0.666666667,0.666666667,0.333333333,0.428571429,0.416666667,0.297297297,0.315789474,0.324324324,0.323529412,7,2
20160415SSOB0,8.217391304,2.608695652,0.571428571,0.391304348,0.5,0.652173913,0.238095238,0.29787234,0.30952381,0.365853659,0.4375,0.56097561,0.340909091,0.431372549,0.545454545,0.25,0.347826087,0.35,0.25,0.294117647,0.375,0.666666667,0.666666667,0.666666667,0.333333333,0.428571429,0.416666667,0.297297297,0.315789474,0.324324324,12.46153846,2.538461538,2,0.274509804,0.350877193,0.352941176,0.292682927,0.4,0.414634146,0.304347826,0.407407407,0.652173913,0.195121951,0.333333333,0.317073171,0.48,0.580645161,0.8,0.307692308,0.4,0.358974359,0.185185185,0.185185185,0.222222222,0.333333333,0.5,0.333333333,0.297297297,0.386363636,0.405405405,0.171428571,2,7
