,date,game_key,최원재,채선관,조근종,고영표,심재민,류희운,안상빈,강장산,홍성무,엄상백,이창재,정성곤,주권,김재윤,조무근,피어밴드,배제성,박세진,김도영,로치,조병욱,이정현,이종혁,최대성,홍성용,윤근영,이상화,배우열,김사율
49,2017-05-28,20170528KTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4394904458598727, 1.070063694267516, 7.142857142857143, 5.814814814814815]","[0, 1, 2.6666666666666665, 1.2592592592592593, 4.285714285714286, 1.173913043478261]","[0, 0, 4.764705882352941, 1.2352941176470587, 1.5, 1.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.5, 1.2727272727272727, 0.9824561403508772]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.617021276595745, 1.8510638297872342, 2.25, 3.4814814814814814]","[1, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 0, 0.0, 0.7317073170731707, 3.0, 0.8541666666666666]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.4210526315789473, 0.8596491228070176, 6.714285714285714, 7.125]","[0, 0, 4.859999999999999, 1.5, 0.9, 1.5151515151515154]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 0.84, 3, 0.925925925925926]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4285714285714284, 1.4285714285714286, 5.0, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]"
50,2017-05-30,20170530SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4394904458598727, 1.070063694267516, 7.142857142857143, 5.814814814814815]","[0, 0, 2.6666666666666665, 1.2592592592592593, 4.285714285714286, 1.173913043478261]","[0, 0, 4.764705882352941, 1.2352941176470587, 1.5, 1.888888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.5, 1.2727272727272727, 0.9824561403508772]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.0, 1.875, 2.0, 3.2]","[0, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 0, 0.0, 0.7317073170731707, 3.0, 0.8541666666666666]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.4210526315789473, 0.8596491228070176, 6.714285714285714, 7.125]","[0, 0, 4.859999999999999, 1.5, 0.9, 1.5151515151515154]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.7142857142857135, 1.2857142857142856, 3, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4285714285714284, 1.4285714285714286, 5.0, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]"
51,2017-05-31,20170531SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4394904458598727, 1.070063694267516, 7.142857142857143, 5.814814814814815]","[0, 0, 2.6666666666666665, 1.2592592592592593, 4.285714285714286, 1.173913043478261]","[1, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.263157894736842, 1.5789473684210527, 1.3636363636363635, 0.95]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.875, 2.0, 3.2]","[0, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 0, 0.0, 0.7317073170731707, 3.0, 0.8541666666666666]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.4210526315789473, 0.8596491228070176, 6.714285714285714, 7.125]","[0, 1, 4.354838709677419, 1.4516129032258063, 0.8461538461538461, 1.7222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.2857142857142856, 3, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.272727272727273, 1.4090909090909092, 5.0, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]"
52,2017-06-01,20170601SKKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.528409090909091, 1.0568181818181819, 7.0, 5.866666666666666]","[0, 0, 2.6666666666666665, 1.2592592592592593, 4.285714285714286, 1.173913043478261]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 18.0, 3.0, 2.0, 1.0]","[0, 0, 4.263157894736842, 1.5789473684210527, 1.3636363636363635, 0.95]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.875, 2.0, 3.2]","[0, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 0, 0.0, 0.7317073170731707, 3.0, 0.8541666666666666]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.4210526315789473, 0.8596491228070176, 6.714285714285714, 7.125]","[0, 0, 4.354838709677419, 1.4516129032258063, 0.8461538461538461, 1.7222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.4090909090909092, 5.0, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]"
53,2017-06-02,20170602KTLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.528409090909091, 1.0568181818181819, 7.0, 5.866666666666666]","[0, 1, 2.793103448275862, 1.2413793103448276, 3.875, 1.2083333333333333]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 18.0, 3.0, 2.0, 1.0]","[0, 0, 4.263157894736842, 1.5789473684210527, 1.3636363636363635, 0.95]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.875, 2.0, 3.2]","[0, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 1, 0.0, 0.6818181818181819, 3.0, 0.8627450980392156]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.4210526315789473, 0.8596491228070176, 6.714285714285714, 7.125]","[0, 0, 4.354838709677419, 1.4516129032258063, 0.8461538461538461, 1.7222222222222223]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.130434782608696, 1.3478260869565217, 5.666666666666667, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[1, 0, 1.8, 1.6, 2.0, 5.0]"
54,2017-06-03,20170603KTLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.528409090909091, 1.0568181818181819, 7.0, 5.866666666666666]","[0, 0, 2.793103448275862, 1.2413793103448276, 3.875, 1.2083333333333333]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 27.0, 3.5, 1.0, 1.0]","[0, 1, 4.5, 1.6, 1.4545454545454546, 0.9523809523809523]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.875, 2.0, 3.2]","[0, 0, 7.767123287671232, 1.9726027397260275, 1.5, 3.476190476190476]","[0, 0, 0.0, 0.6818181818181819, 3.0, 0.8627450980392156]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[1, 0, 1.6875, 0.859375, 6.5, 7.111111111111111]","[0, 1, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.130434782608696, 1.3478260869565217, 5.666666666666667, 1.0]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
55,2017-06-04,20170604KTLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.528409090909091, 1.0568181818181819, 7.0, 5.866666666666666]","[0, 1, 2.967032967032967, 1.2857142857142858, 3.4444444444444446, 1.2133333333333334]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 10, 0.0, 0.0]","[0, 0, 27.0, 3.5, 1.0, 1.0]","[0, 1, 4.285714285714286, 1.619047619047619, 1.3333333333333333, 0.9545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.76923076923077, 1.7692307692307692, 1.8333333333333333, 3.5454545454545454]","[1, 0, 7.9411764705882355, 1.9764705882352942, 1.3333333333333333, 3.5416666666666665]","[0, 0, 0.0, 0.6818181818181819, 3.0, 0.8627450980392156]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.6875, 0.859375, 6.5, 7.111111111111111]","[0, 0, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.21875, 1.5374999999999999, 2.4615384615384617, 5.9259259259259265]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0422535211267605, 1.3098591549295775, 6.0, 0.9861111111111112]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
56,2017-06-07,20170607LGKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.528409090909091, 1.0568181818181819, 7.0, 5.866666666666666]","[0, 1, 3.4468085106382977, 1.372340425531915, 3.2, 1.205128205128205]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 10, 0.0, 0.0]","[0, 0, 27.0, 3.5, 1.0, 1.0]","[0, 0, 4.285714285714286, 1.619047619047619, 1.3333333333333333, 0.9545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.76923076923077, 1.7692307692307692, 1.8333333333333333, 3.5454545454545454]","[0, 0, 7.9411764705882355, 1.9764705882352942, 1.3333333333333333, 3.5416666666666665]","[0, 1, 0.0, 0.7021276595744681, 3.0, 0.8703703703703703]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.6875, 0.859375, 6.5, 7.111111111111111]","[0, 0, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.398876404494382, 1.550561797752809, 2.0, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.4583333333333333, 3.6, 0.96]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
57,2017-06-08,20170608LGKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.036082474226804, 1.0979381443298968, 7.75, 5.878787878787879]","[0, 0, 3.4468085106382977, 1.372340425531915, 3.2, 1.205128205128205]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 1, 21.6, 2.4, 3.0, 0.8333333333333334]","[0, 0, 27.0, 3.5, 1.0, 1.0]","[0, 0, 4.285714285714286, 1.619047619047619, 1.3333333333333333, 0.9545454545454546]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.76923076923077, 1.7692307692307692, 1.8333333333333333, 3.5454545454545454]","[0, 0, 7.9411764705882355, 1.9764705882352942, 1.3333333333333333, 3.5416666666666665]","[0, 0, 0.0, 0.7021276595744681, 3.0, 0.8703703703703703]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.6875, 0.859375, 6.5, 7.111111111111111]","[0, 0, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.398876404494382, 1.550561797752809, 2.0, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.4583333333333333, 3.6, 0.96]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
58,2017-06-09,20170609KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.036082474226804, 1.0979381443298968, 7.75, 5.878787878787879]","[0, 1, 3.2399999999999998, 1.3199999999999998, 3.4, 1.234567901234568]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 21.6, 2.4, 3.0, 0.8333333333333334]","[0, 1, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 1, 3.9705882352941178, 1.5441176470588234, 1.5, 0.9855072463768116]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.76923076923077, 1.7692307692307692, 1.8333333333333333, 3.5454545454545454]","[0, 0, 7.9411764705882355, 1.9764705882352942, 1.3333333333333333, 3.5416666666666665]","[0, 1, 2.8125, 1.0, 3.3333333333333335, 0.8421052631578947]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[1, 0, 1.5428571428571427, 0.8428571428571429, 7.25, 7.0]","[0, 0, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.398876404494382, 1.550561797752809, 2.0, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.378378378378379, 1.4594594594594594, 3.8, 0.9487179487179488]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
59,2017-06-10,20170610KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.036082474226804, 1.0979381443298968, 7.75, 5.878787878787879]","[0, 0, 3.2399999999999998, 1.3199999999999998, 3.4, 1.234567901234568]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.8, 1.5, 4.0, 1.1111111111111112]","[0, 0, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 1, 3.802816901408451, 1.4788732394366197, 1.5, 0.9861111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.76923076923077, 1.7692307692307692, 1.8333333333333333, 3.5454545454545454]","[1, 0, 8.617021276595745, 2.0106382978723407, 1.0, 3.4814814814814814]","[0, 0, 2.8125, 1.0, 3.3333333333333335, 0.8421052631578947]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.5428571428571427, 0.8428571428571429, 7.25, 7.0]","[0, 0, 4.242857142857143, 1.5, 1.0, 1.7948717948717947]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.398876404494382, 1.550561797752809, 2.0, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.378378378378379, 1.4594594594594594, 3.8, 0.9487179487179488]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
60,2017-06-11,20170611KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.036082474226804, 1.0979381443298968, 7.75, 5.878787878787879]","[0, 0, 3.2399999999999998, 1.3199999999999998, 3.4, 1.234567901234568]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 1.5, 4.0, 1.1111111111111112]","[0, 0, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 0, 3.802816901408451, 1.4788732394366197, 1.5, 0.9861111111111112]","[0, 0, 0, 0, 0, 0]","[1, 0, 9.381355932203391, 1.830508474576271, 1.8333333333333333, 3.277777777777778]","[0, 0, 8.617021276595745, 2.0106382978723407, 1.0, 3.4814814814814814]","[0, 0, 2.8125, 1.0, 3.3333333333333335, 0.8421052631578947]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.5428571428571427, 0.8428571428571429, 7.25, 7.0]","[0, 1, 4.438356164383562, 1.5616438356164384, 1.0, 1.738095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.398876404494382, 1.550561797752809, 2.0, 5.933333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.378378378378379, 1.4594594594594594, 3.8, 0.9487179487179488]","[0, 0, 9.719999999999999, 2.1599999999999997, 3.0, 1.0416666666666667]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
61,2017-06-13,20170613KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.036082474226804, 1.0979381443298968, 7.75, 5.878787878787879]","[0, 0, 3.2399999999999998, 1.3199999999999998, 3.4, 1.234567901234568]","[0, 0, 8.307692307692308, 1.9615384615384617, 1.2, 2.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 1.5, 4.0, 1.1111111111111112]","[0, 0, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 0, 3.802816901408451, 1.4788732394366197, 1.5, 0.9861111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.381355932203391, 1.830508474576271, 1.8333333333333333, 3.277777777777778]","[0, 0, 8.617021276595745, 2.0106382978723407, 1.0, 3.4814814814814814]","[0, 0, 2.8125, 1.0, 3.3333333333333335, 0.8421052631578947]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.5428571428571427, 0.8428571428571429, 7.25, 7.0]","[0, 0, 4.438356164383562, 1.5616438356164384, 1.0, 1.738095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.545918367346939, 1.5306122448979593, 1.95, 5.939393939393939]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.32, 1.44, 4.0, 0.9259259259259259]","[0, 1, 11.32258064516129, 2.5161290322580645, 2.6666666666666665, 1.1481481481481481]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
62,2017-06-14,20170614KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.25, 1.0972222222222223, 7.222222222222222, 6.0]","[0, 1, 3.407766990291262, 1.3980582524271843, 2.6153846153846154, 1.2261904761904763]","[0, 1, 9.0, 1.9230769230769231, 0.8, 2.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.8, 1.5, 4.0, 1.1111111111111112]","[0, 0, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 0, 3.802816901408451, 1.4788732394366197, 1.5, 0.9861111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.381355932203391, 1.830508474576271, 1.8333333333333333, 3.277777777777778]","[0, 0, 8.617021276595745, 2.0106382978723407, 1.0, 3.4814814814814814]","[0, 1, 2.5, 1.0, 3.0, 0.9]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[0, 0, 1.5428571428571427, 0.8428571428571429, 7.25, 7.0]","[0, 0, 4.438356164383562, 1.5616438356164384, 1.0, 1.738095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.545918367346939, 1.5306122448979593, 1.95, 5.939393939393939]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.32, 1.44, 4.0, 0.9259259259259259]","[0, 0, 11.32258064516129, 2.5161290322580645, 2.6666666666666665, 1.1481481481481481]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
63,2017-06-15,20170615KTSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.25, 1.0972222222222223, 7.222222222222222, 6.0]","[0, 0, 3.407766990291262, 1.3980582524271843, 2.6153846153846154, 1.2261904761904763]","[0, 0, 9.0, 1.9230769230769231, 0.8, 2.6]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.2, 1.2, 4.0, 1.25]","[0, 0, 18.0, 2.3333333333333335, 1.0, 1.0]","[0, 0, 3.802816901408451, 1.4788732394366197, 1.5, 0.9861111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.381355932203391, 1.830508474576271, 1.8333333333333333, 3.277777777777778]","[0, 0, 8.617021276595745, 2.0106382978723407, 1.0, 3.4814814814814814]","[0, 0, 2.5, 1.0, 3.0, 0.9]","[0, 0, 5.785714285714286, 1.0714285714285714, 2.0, 0.6666666666666667]","[1, 0, 1.6651982378854626, 0.8986784140969163, 8.0, 6.878787878787879]","[0, 0, 4.438356164383562, 1.5616438356164384, 1.0, 1.738095238095238]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.545918367346939, 1.5306122448979593, 1.95, 5.939393939393939]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.967741935483871, 1.4516129032258063, 2.5, 0.9393939393939394]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.153846153846154, 1.4230769230769231, 3.5, 0.9285714285714286]","[0, 0, 11.32258064516129, 2.5161290322580645, 2.6666666666666665, 1.1481481481481481]","[0, 0, 1.8, 1.6, 2.0, 5.0]"
