,date,game_key,김대유,박종훈,문광은,이상백,이정담,서진용,정영일,임치영,문승원,세든,김정빈,조영우,이건욱,박민호,김정민,조한욱,박세웅,켈리,유상화,허웅,김찬호,라라,정동윤,김주한,이승호,채병용,전병두,김승회,임준혁,윤희상,신재웅,박정배,전유수,원용묵,박희수,김광현,윤석주,김태훈
39,2016-05-19,20160519LTSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.176470588235294, 1.3865546218487397, 1.4583333333333333, 5.666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3478260869565215, 1.5652173913043477, 1.1111111111111112, 5.111111111111112]","[0, 0, 4.56923076923077, 1.2923076923076922, 2.9166666666666665, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.584905660377358, 1.3584905660377358, 2.25, 1.1041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.3973509933774837, 1.3112582781456954, 2.1875, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.15, 1.4, 2.5, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.3928571428571428, 1.0, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 5.142857142857142, 1.8571428571428572, 0.8888888888888888, 0.4666666666666667]","[0, 0, 3.5, 1.0, 1.6, 0.9473684210526315]","[0, 0, 6.75, 2.0, 1.8, 1.2]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.9230769230769231, 1.4444444444444444, 1.1555555555555554]","[0, 0, 3.056603773584906, 1.169811320754717, 3.0714285714285716, 6.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
40,2016-05-20,20160520SKHT0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.251968503937007, 1.4881889763779528, 1.3461538461538463, 5.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3478260869565215, 1.5652173913043477, 1.1111111111111112, 5.111111111111112]","[0, 0, 4.56923076923077, 1.2923076923076922, 2.9166666666666665, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.584905660377358, 1.3584905660377358, 2.25, 1.1041666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3973509933774837, 1.3112582781456954, 2.1875, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.098360655737705, 1.3770491803278688, 2.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.7142857142857135, 1.3928571428571428, 1.0, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 5.142857142857142, 1.8571428571428572, 0.8888888888888888, 0.4666666666666667]","[0, 1, 3.375, 1.0178571428571428, 1.6, 0.9333333333333333]","[0, 1, 6.394736842105263, 1.8947368421052633, 2.0, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.9230769230769231, 1.4444444444444444, 1.1555555555555554]","[0, 0, 3.056603773584906, 1.169811320754717, 3.0714285714285716, 6.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
41,2016-05-21,20160521SKHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.4881889763779528, 1.3461538461538463, 5.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.098360655737705, 1.4754098360655739, 1.0, 5.083333333333333]","[0, 0, 4.56923076923077, 1.2923076923076922, 2.9166666666666665, 6.190476190476191]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.339285714285714, 1.3392857142857142, 2.25, 1.0980392156862746]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3973509933774837, 1.3112582781456954, 2.1875, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.3770491803278688, 2.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.28125, 1.59375, 1.4, 0.9696969696969696]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 6.428571428571428, 2.0, 0.8888888888888888, 0.4375]","[0, 0, 3.375, 1.0178571428571428, 1.6, 0.9333333333333333]","[0, 0, 6.394736842105263, 1.8947368421052633, 2.0, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.5094339622641509, 1.1320754716981132, 1.2727272727272727, 1.1041666666666667]","[0, 0, 3.056603773584906, 1.169811320754717, 3.0714285714285716, 6.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
42,2016-05-22,20160522SKHT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.4881889763779528, 1.3461538461538463, 5.291666666666667]","[0, 1, 27.0, 9.0, 1.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.4754098360655739, 1.0, 5.083333333333333]","[1, 0, 4.195945945945946, 1.2972972972972971, 3.25, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.339285714285714, 1.3392857142857142, 2.25, 1.0980392156862746]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3973509933774837, 1.3112582781456954, 2.1875, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.3770491803278688, 2.5, 1.0701754385964912]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.73529411764706, 1.588235294117647, 1.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 6.428571428571428, 2.0, 0.8888888888888888, 0.4375]","[0, 0, 3.375, 1.0178571428571428, 1.6, 0.9333333333333333]","[0, 1, 5.170212765957447, 1.6595744680851063, 2.2, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.5094339622641509, 1.1320754716981132, 1.2727272727272727, 1.1041666666666667]","[0, 0, 3.056603773584906, 1.169811320754717, 3.0714285714285716, 6.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
43,2016-05-25,20160525SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.4881889763779528, 1.3461538461538463, 5.291666666666667]","[0, 1, 6.75, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.4754098360655739, 1.0, 5.083333333333333]","[0, 0, 4.195945945945946, 1.2972972972972971, 3.25, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.05, 1.25, 2.25, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.3973509933774837, 1.3112582781456954, 2.1875, 6.291666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.380952380952381, 2.2222222222222223, 1.05]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.73529411764706, 1.588235294117647, 1.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 6.428571428571428, 2.0, 0.8888888888888888, 0.4375]","[0, 0, 3.375, 1.0178571428571428, 1.6, 0.9333333333333333]","[0, 0, 5.170212765957447, 1.6595744680851063, 2.2, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.5094339622641509, 1.1320754716981132, 1.2727272727272727, 1.1041666666666667]","[1, 0, 3.0167597765363126, 1.1899441340782124, 2.8823529411764706, 6.62962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
44,2016-05-26,20160526SKNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.251968503937007, 1.4881889763779528, 1.3461538461538463, 5.291666666666667]","[0, 0, 6.75, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.4754098360655739, 1.0, 5.083333333333333]","[0, 0, 4.195945945945946, 1.2972972972972971, 3.25, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.25, 2.25, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.221590909090909, 1.278409090909091, 2.3333333333333335, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.380952380952381, 2.2222222222222223, 1.05]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.73529411764706, 1.588235294117647, 1.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 5.869565217391304, 1.826086956521739, 1.0, 0.45098039215686275]","[0, 1, 3.5409836065573774, 1.0327868852459017, 1.3333333333333333, 0.9682539682539681]","[0, 0, 5.170212765957447, 1.6595744680851063, 2.2, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.4821428571428571, 1.125, 1.25, 1.0980392156862746]","[0, 0, 3.0167597765363126, 1.1899441340782124, 2.8823529411764706, 6.62962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
45,2016-05-27,20160527SSSK0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.8, 1.6, 1.3448275862068966, 5.0]","[0, 0, 6.75, 3.0, 2.0, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.098360655737705, 1.4754098360655739, 1.0, 5.083333333333333]","[0, 0, 4.195945945945946, 1.2972972972972971, 3.25, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.25, 2.25, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.221590909090909, 1.278409090909091, 2.3333333333333335, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.8636363636363638, 1.3636363636363635, 2.2222222222222223, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.485714285714286, 1.542857142857143, 1.6, 0.8974358974358974]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 6.75, 2.0, 0.9, 0.4444444444444444]","[0, 0, 3.5409836065573774, 1.0327868852459017, 1.3333333333333333, 0.9682539682539681]","[0, 0, 5.170212765957447, 1.6595744680851063, 2.2, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4821428571428571, 1.125, 1.25, 1.0980392156862746]","[0, 0, 3.0167597765363126, 1.1899441340782124, 2.8823529411764706, 6.62962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
46,2016-05-28,20160528SSSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.8, 1.6, 1.3448275862068966, 5.0]","[0, 1, 5.4, 2.4, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.207792207792208, 1.5974025974025974, 1.0666666666666667, 5.133333333333334]","[0, 0, 4.195945945945946, 1.2972972972972971, 3.25, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.790322580645162, 1.4032258064516128, 2.25, 1.087719298245614]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.221590909090909, 1.278409090909091, 2.3333333333333335, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.8636363636363638, 1.3636363636363635, 2.2222222222222223, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 8.485714285714286, 1.542857142857143, 1.6, 0.8974358974358974]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 6.75, 2.0, 0.9, 0.4444444444444444]","[0, 0, 3.5409836065573774, 1.0327868852459017, 1.3333333333333333, 0.9682539682539681]","[0, 0, 5.170212765957447, 1.6595744680851063, 2.2, 1.3055555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4821428571428571, 1.125, 1.25, 1.0980392156862746]","[0, 0, 3.0167597765363126, 1.1899441340782124, 2.8823529411764706, 6.62962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
47,2016-05-29,20160529SSSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.8, 1.6, 1.3448275862068966, 5.0]","[0, 0, 5.4, 2.4, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.207792207792208, 1.5974025974025974, 1.0666666666666667, 5.133333333333334]","[1, 0, 4.115853658536586, 1.298780487804878, 2.857142857142857, 6.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.790322580645162, 1.4032258064516128, 2.25, 1.087719298245614]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.221590909090909, 1.278409090909091, 2.3333333333333335, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6619718309859155, 1.2676056338028168, 2.4444444444444446, 1.075757575757576]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.815789473684211, 1.5, 1.8, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 6.4799999999999995, 1.92, 1.0, 0.4385964912280702]","[0, 0, 3.5409836065573774, 1.0327868852459017, 1.3333333333333333, 0.9682539682539681]","[0, 1, 5.294117647058823, 1.7647058823529411, 2.4, 1.3076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4821428571428571, 1.125, 1.25, 1.0980392156862746]","[0, 0, 3.0167597765363126, 1.1899441340782124, 2.8823529411764706, 6.62962962962963]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
48,2016-05-31,20160531SKHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.8, 1.6, 1.3448275862068966, 5.0]","[0, 0, 5.4, 2.4, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.207792207792208, 1.5974025974025974, 1.0666666666666667, 5.133333333333334]","[0, 0, 4.115853658536586, 1.298780487804878, 2.857142857142857, 6.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.2388059701492535, 1.4328358208955225, 2.0, 1.1166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.221590909090909, 1.278409090909091, 2.3333333333333335, 6.518518518518518]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.5540540540540544, 1.2162162162162162, 2.6666666666666665, 1.0724637681159421]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.815789473684211, 1.5, 1.8, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 6.75, 1.8214285714285714, 1.1, 0.4666666666666667]","[0, 1, 3.6818181818181817, 1.0909090909090908, 1.0, 1.0]","[0, 0, 5.294117647058823, 1.7647058823529411, 2.4, 1.3076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.4821428571428571, 1.125, 1.25, 1.0980392156862746]","[1, 0, 2.8781725888324874, 1.1573604060913705, 2.789473684210526, 6.566666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
49,2016-06-01,20160601SKHH0,"[0, 0, 0, 0, 0, 0]","[0, 0, 4.8, 1.6, 1.3448275862068966, 5.0]","[0, 0, 5.4, 2.4, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.207792207792208, 1.5974025974025974, 1.0666666666666667, 5.133333333333334]","[0, 0, 4.115853658536586, 1.298780487804878, 2.857142857142857, 6.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.4328358208955225, 2.0, 1.1166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.4793814432989687, 1.2989690721649483, 2.2, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.5540540540540544, 1.2162162162162162, 2.6666666666666665, 1.0724637681159421]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.815789473684211, 1.5, 1.8, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 0, 6.75, 1.8214285714285714, 1.1, 0.4666666666666667]","[0, 1, 3.626865671641791, 1.164179104477612, 1.0, 0.9710144927536232]","[0, 0, 5.294117647058823, 1.7647058823529411, 2.4, 1.3076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.43548387096774194, 1.064516129032258, 1.4166666666666667, 1.1481481481481481]","[0, 0, 2.8781725888324874, 1.1573604060913705, 2.789473684210526, 6.566666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
50,2016-06-02,20160602SKHH0,"[0, 0, 0, 0, 0, 0]","[1, 0, 4.588235294117648, 1.588235294117647, 1.375, 5.1]","[0, 0, 5.4, 2.4, 2.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.6315789473684211, 2.0, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.207792207792208, 1.5974025974025974, 1.0666666666666667, 5.133333333333334]","[0, 0, 4.115853658536586, 1.298780487804878, 2.857142857142857, 6.0740740740740735]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2388059701492535, 1.4328358208955225, 2.0, 1.1166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4793814432989687, 1.2989690721649483, 2.2, 6.466666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.2399999999999998, 1.28, 2.4, 1.0416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.815789473684211, 1.5, 1.8, 0.9047619047619048]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.428571428571427, 3.0, 0.0, 2.3333333333333335]","[0, 1, 6.3, 1.7, 1.2, 0.47619047619047616]","[0, 0, 3.626865671641791, 1.164179104477612, 1.0, 0.9710144927536232]","[0, 1, 4.821428571428571, 1.8749999999999998, 2.3333333333333335, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.43548387096774194, 1.064516129032258, 1.4166666666666667, 1.1481481481481481]","[0, 0, 2.8781725888324874, 1.1573604060913705, 2.789473684210526, 6.566666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 2.142857142857143, 0.5, 0.7777777777777778]"
