,game_key,pitcher,1,2,3,4,5,6,7,8,9
108,20160818HTLT0,"[1.35, 1.5, 1.6, 1.1111111111111112]","[0.3401360544217687, 0.41566265060240964, 0.42857142857142855, 0.23333333333333334, 0.17687074829931973, 0.05442176870748299]","[0.2878787878787879, 0.3569482288828338, 0.38181818181818183, 0.26136363636363635, 0.1606060606060606, 0.09393939393939393]","[0.34054054054054056, 0.38271604938271603, 0.5621621621621622, 0.4329896907216495, 0.1945945945945946, 0.20810810810810812]","[0.3184713375796178, 0.4682926829268293, 0.5923566878980892, 0.3111111111111111, 0.23885350318471338, 0.24203821656050956]","[0.3016304347826087, 0.38004750593824227, 0.5271739130434783, 0.3113207547169811, 0.18206521739130435, 0.20652173913043478]","[0.28664495114006516, 0.39285714285714285, 0.4755700325732899, 0.32, 0.18241042345276873, 0.1791530944625407]","[0.2967479674796748, 0.35447761194029853, 0.5121951219512195, 0.23214285714285715, 0.13821138211382114, 0.13414634146341464]","[0.2983425414364641, 0.3640776699029126, 0.5248618784530387, 0.2962962962962963, 0.1270718232044199, 0.19889502762430938]","[0.2775330396475771, 0.31666666666666665, 0.34801762114537443, 0.31343283582089554, 0.13656387665198239, 0.10572687224669604]"
109,20160819HTLT0,"[3.345652173913044, 1.2978260869565217, 2.2, 6.666666666666667]","[0.2904191616766467, 0.3584905660377358, 0.39221556886227543, 0.25842696629213485, 0.16167664670658682, 0.09580838323353294]","[0.4375, 0.4722222222222222, 0.5625, 0.4, 0.3125, 0.25]","[0.3413333333333333, 0.3829268292682927, 0.56, 0.42857142857142855, 0.192, 0.20533333333333334]","[0.3166144200626959, 0.4650602409638554, 0.5862068965517241, 0.31521739130434784, 0.23510971786833856, 0.2445141065830721]","[0.3002680965147453, 0.3779342723004695, 0.5227882037533512, 0.308411214953271, 0.17962466487935658, 0.2037533512064343]","[0.3, 0.35661764705882354, 0.512, 0.23214285714285715, 0.136, 0.132]","[0.2829581993569132, 0.38858695652173914, 0.4694533762057878, 0.32, 0.18006430868167203, 0.17684887459807075]","[0.2813852813852814, 0.319672131147541, 0.35064935064935066, 0.31343283582089554, 0.13852813852813853, 0.1038961038961039]","[0.22388059701492538, 0.273972602739726, 0.23880597014925373, 0.2222222222222222, 0.1044776119402985, 0.08955223880597014]"
110,20160820LGHT0,"[3.7549668874172184, 1.3245033112582782, 2.0185185185185186, 6.565217391304348]","[0.34415584415584416, 0.4161849710982659, 0.42857142857142855, 0.23333333333333334, 0.17532467532467533, 0.05194805194805195]","[0.2920353982300885, 0.35904255319148937, 0.40117994100294985, 0.25555555555555554, 0.16519174041297935, 0.10029498525073746]","[0.3447368421052632, 0.3855421686746988, 0.5605263157894737, 0.43434343434343436, 0.18947368421052632, 0.20789473684210527]","[0.3148148148148148, 0.46190476190476193, 0.5895061728395061, 0.30851063829787234, 0.2345679012345679, 0.24382716049382716]","[0.3050397877984085, 0.382830626450116, 0.53315649867374, 0.3148148148148148, 0.1830238726790451, 0.20689655172413793]","[0.28164556962025317, 0.38605898123324395, 0.47468354430379744, 0.32, 0.18037974683544303, 0.18037974683544303]","[0.29411764705882354, 0.35018050541516244, 0.5019607843137255, 0.22807017543859648, 0.13333333333333333, 0.12941176470588237]","[0.29347826086956524, 0.3588516746411483, 0.5163043478260869, 0.2962962962962963, 0.125, 0.1956521739130435]","[0.2796610169491525, 0.3172690763052209, 0.3474576271186441, 0.31343283582089554, 0.13983050847457626, 0.1016949152542373]"
111,20160821LGHT0,"[3.9112149532710276, 1.5280373831775702, 1.8235294117647058, 1.829059829059829]","[0.29239766081871343, 0.3605263157894737, 0.40350877192982454, 0.25555555555555554, 0.1695906432748538, 0.09941520467836257]","[0.4117647058823529, 0.46153846153846156, 0.5294117647058824, 0.36363636363636365, 0.3235294117647059, 0.2647058823529412]","[0.34464751958224543, 0.38663484486873506, 0.5587467362924282, 0.43434343434343436, 0.18798955613577023, 0.206266318537859]","[0.3149847094801223, 0.46226415094339623, 0.5963302752293578, 0.30526315789473685, 0.23547400611620795, 0.24770642201834864]","[0.30606860158311344, 0.3839080459770115, 0.5329815303430079, 0.3119266055045872, 0.1820580474934037, 0.20844327176781002]","[0.284375, 0.38726790450928383, 0.478125, 0.3116883116883117, 0.178125, 0.178125]","[0.2918287937743191, 0.35231316725978645, 0.4980544747081712, 0.22413793103448276, 0.13229571984435798, 0.12840466926070038]","[0.2887700534759358, 0.35377358490566035, 0.5080213903743316, 0.2909090909090909, 0.12299465240641712, 0.1925133689839572]","[0.27615062761506276, 0.3134920634920635, 0.34309623430962344, 0.3088235294117647, 0.13807531380753138, 0.100418410041841]"
112,20160823HTNC0,"[5.328947368421053, 1.8947368421052633, 0.9565217391304348, 1.1515151515151514]","[0.28901734104046245, 0.35844155844155845, 0.3988439306358382, 0.25274725274725274, 0.17052023121387283, 0.09826589595375723]","[0.4166666666666667, 0.47619047619047616, 0.5277777777777778, 0.36363636363636365, 0.3611111111111111, 0.25]","[0.35051546391752575, 0.3915094339622642, 0.5721649484536082, 0.44, 0.19072164948453607, 0.211340206185567]","[0.3132530120481928, 0.4592074592074592, 0.5993975903614458, 0.29896907216494845, 0.23493975903614459, 0.25]","[0.30446194225721784, 0.3826879271070615, 0.5301837270341208, 0.3119266055045872, 0.1837270341207349, 0.2099737532808399]","[0.31746031746031744, 0.36930455635491605, 0.5238095238095238, 0.2978723404255319, 0.15343915343915343, 0.18783068783068782]","[0.28846153846153844, 0.3508771929824561, 0.49230769230769234, 0.22033898305084745, 0.13076923076923078, 0.12692307692307692]","[0.2108843537414966, 0.2934131736526946, 0.3401360544217687, 0.16666666666666666, 0.08163265306122448, 0.09523809523809523]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
113,20160824HTNC0,"[1.3846153846153846, 1.3076923076923077, 1.6, 1.625]","[0.33540372670807456, 0.40555555555555556, 0.4161490683229814, 0.24242424242424243, 0.16770186335403728, 0.055900621118012424]","[0.28653295128939826, 0.3556701030927835, 0.3954154727793696, 0.25, 0.16905444126074498, 0.09742120343839542]","[0.35038363171355497, 0.3911007025761124, 0.5703324808184144, 0.44, 0.18925831202046037, 0.20971867007672634]","[0.3164179104477612, 0.46064814814814814, 0.6, 0.29896907216494845, 0.23283582089552238, 0.24776119402985075]","[0.3036649214659686, 0.3832199546485261, 0.5287958115183246, 0.3119266055045872, 0.18324607329842932, 0.2094240837696335]","[0.31675392670157065, 0.3681710213776722, 0.5209424083769634, 0.2978723404255319, 0.1518324607329843, 0.18586387434554974]","[0.29012345679012347, 0.3910761154855643, 0.49691358024691357, 0.3116883116883117, 0.17901234567901234, 0.17901234567901234]","[0.21333333333333335, 0.2982456140350877, 0.34, 0.16666666666666666, 0.08, 0.09333333333333334]","[0.2727272727272727, 0.30980392156862746, 0.33884297520661155, 0.30434782608695654, 0.13636363636363635, 0.09917355371900827]"
114,20160825SSHT0,"[3.3891213389121337, 1.3242677824267781, 2.239130434782609, 6.638888888888889]","[0.28895184135977336, 0.35877862595419846, 0.40226628895184136, 0.25, 0.16997167138810199, 0.09631728045325778]","[0.2917933130699088, 0.3911917098445596, 0.49544072948328266, 0.3116883116883117, 0.1762917933130699, 0.1762917933130699]","[0.3468354430379747, 0.3888888888888889, 0.5645569620253165, 0.43137254901960786, 0.18734177215189873, 0.21012658227848102]","[0.3185840707964602, 0.4622425629290618, 0.6076696165191741, 0.30303030303030304, 0.2359882005899705, 0.25073746312684364]","[0.30310880829015546, 0.3834080717488789, 0.533678756476684, 0.3090909090909091, 0.18393782383419688, 0.20984455958549222]","[0.3178294573643411, 0.3685446009389671, 0.5271317829457365, 0.2978723404255319, 0.1524547803617571, 0.18863049095607234]","[0.2889733840304182, 0.3506944444444444, 0.49049429657794674, 0.22033898305084745, 0.12927756653992395, 0.12547528517110265]","[0.2077922077922078, 0.2914285714285714, 0.33116883116883117, 0.16216216216216217, 0.07792207792207792, 0.09090909090909091]","[0.27049180327868855, 0.3127413127413127, 0.3360655737704918, 0.30434782608695654, 0.13524590163934427, 0.09836065573770492]"
115,20160827OBHT0,"[3.5660377358490565, 1.2955974842767295, 2.0535714285714284, 6.625]","[0.28651685393258425, 0.35768261964735515, 0.398876404494382, 0.24468085106382978, 0.17134831460674158, 0.09550561797752809]","[0.375, 0.43478260869565216, 0.475, 0.36363636363636365, 0.35, 0.225]","[0.3458646616541353, 0.3876146788990826, 0.5639097744360902, 0.4368932038834951, 0.18546365914786966, 0.21303258145363407]","[0.31871345029239767, 0.46258503401360546, 0.6052631578947368, 0.3069306930693069, 0.23684210526315788, 0.25146198830409355]","[0.30412371134020616, 0.38666666666666666, 0.5412371134020618, 0.3090909090909091, 0.18814432989690721, 0.21391752577319587]","[0.3171355498721228, 0.3674418604651163, 0.5242966751918159, 0.2978723404255319, 0.15089514066496162, 0.1867007672634271]","[0.2883895131086142, 0.3493150684931507, 0.4868913857677903, 0.22950819672131148, 0.12734082397003746, 0.12734082397003746]","[0.20253164556962025, 0.2849162011173184, 0.3227848101265823, 0.15789473684210525, 0.0759493670886076, 0.08860759493670886]","[0.27125506072874495, 0.31297709923664124, 0.3360323886639676, 0.3, 0.13360323886639677, 0.09716599190283401]"
116,20160828OBHT0,"[7.7142857142857135, 2.076923076923077, 0.9642857142857143, 1.3188405797101448]","[0.28888888888888886, 0.35910224438902744, 0.4, 0.25263157894736843, 0.17222222222222222, 0.09722222222222222]","[0.2912912912912913, 0.391304347826087, 0.4924924924924925, 0.3116883116883117, 0.18018018018018017, 0.17417417417417416]","[0.3482587064676617, 0.39090909090909093, 0.5671641791044776, 0.4423076923076923, 0.18407960199004975, 0.21393034825870647]","[0.315028901734104, 0.4584269662921348, 0.5982658959537572, 0.2980769230769231, 0.23410404624277456, 0.24855491329479767]","[0.30357142857142855, 0.3854625550660793, 0.5459183673469388, 0.30357142857142855, 0.18877551020408162, 0.21428571428571427]","[0.31645569620253167, 0.3663594470046083, 0.529113924050633, 0.2978723404255319, 0.1518987341772152, 0.18734177215189873]","[0.28888888888888886, 0.34915254237288135, 0.4962962962962963, 0.22950819672131148, 0.12962962962962962, 0.12962962962962962]","[0.2857142857142857, 0.35046728971962615, 0.5026455026455027, 0.2857142857142857, 0.12169312169312169, 0.19047619047619047]","[0.276, 0.3169811320754717, 0.344, 0.3, 0.136, 0.096]"
117,20160830SKHT0,"[1.9636363636363636, 1.309090909090909, 1.4615384615384615, 2.0370370370370368]","[0.3253012048192771, 0.3978494623655914, 0.4036144578313253, 0.24242424242424243, 0.1686746987951807, 0.05421686746987952]","[0.3132832080200501, 0.363013698630137, 0.5238095238095238, 0.29473684210526313, 0.15037593984962405, 0.18546365914786966]","[0.3522167487684729, 0.39414414414414417, 0.5689655172413793, 0.4423076923076923, 0.18226600985221675, 0.21182266009852216]","[0.3132183908045977, 0.45879732739420936, 0.5948275862068966, 0.2980769230769231, 0.23275862068965517, 0.2471264367816092]","[0.3005050505050505, 0.38209606986899564, 0.5404040404040404, 0.2982456140350877, 0.18686868686868688, 0.21212121212121213]","[0.2867647058823529, 0.348993288590604, 0.49264705882352944, 0.22950819672131148, 0.12867647058823528, 0.12867647058823528]","[0.28846153846153844, 0.35960591133004927, 0.3983516483516483, 0.25, 0.17032967032967034, 0.09615384615384616]","[0.2766798418972332, 0.31716417910447764, 0.3438735177865613, 0.29577464788732394, 0.13438735177865613, 0.09486166007905138]","[0.20496894409937888, 0.2896174863387978, 0.32298136645962733, 0.15789473684210525, 0.07453416149068323, 0.08695652173913043]"
118,20160831SKHT0,"[3.4294354838709675, 1.318548387096774, 2.25531914893617, 6.613333333333333]","[0.3235294117647059, 0.39473684210526316, 0.4, 0.23529411764705882, 0.16470588235294117, 0.052941176470588235]","[0.2888283378746594, 0.3594132029339853, 0.40054495912806537, 0.25, 0.16893732970027248, 0.09536784741144415]","[0.35121951219512193, 0.39285714285714285, 0.573170731707317, 0.4380952380952381, 0.18292682926829268, 0.2121951219512195]","[0.3096590909090909, 0.45474613686534215, 0.5880681818181818, 0.2980769230769231, 0.23011363636363635, 0.24431818181818182]","[0.3, 0.38095238095238093, 0.545, 0.2982456140350877, 0.1875, 0.2125]","[0.2890855457227139, 0.3879093198992443, 0.4896755162241888, 0.3076923076923077, 0.17699115044247787, 0.1710914454277286]","[0.2898550724637681, 0.3509933774834437, 0.4927536231884058, 0.22950819672131148, 0.13043478260869565, 0.12681159420289856]","[0.27626459143968873, 0.3161764705882353, 0.3424124513618677, 0.3013698630136986, 0.13229571984435798, 0.0933852140077821]","[0.2, 0.28342245989304815, 0.3151515151515151, 0.15, 0.07272727272727272, 0.09090909090909091]"
119,20160901HTSS0,"[5.4986945169712795, 1.660574412532637, 1.875, 5.319444444444445]","[0.2857142857142857, 0.3559322033898305, 0.39622641509433965, 0.24489795918367346, 0.16711590296495957, 0.09433962264150944]","[0.2936046511627907, 0.39054726368159204, 0.49709302325581395, 0.32098765432098764, 0.17732558139534885, 0.1744186046511628]","[0.35180722891566263, 0.39293598233995586, 0.5807228915662651, 0.42990654205607476, 0.1855421686746988, 0.21204819277108433]","[0.31179775280898875, 0.45633187772925765, 0.5870786516853933, 0.29523809523809524, 0.2303370786516854, 0.24157303370786518]","[0.3027295285359802, 0.3854389721627409, 0.5459057071960298, 0.30434782608695654, 0.18858560794044665, 0.21339950372208435]","[0.31773399014778325, 0.36629213483146067, 0.5246305418719212, 0.3020833333333333, 0.1477832512315271, 0.18472906403940886]","[0.2867383512544803, 0.3517915309446254, 0.4874551971326165, 0.2222222222222222, 0.13261648745519714, 0.12544802867383512]","[0.2849740932642487, 0.3515981735159817, 0.49740932642487046, 0.2982456140350877, 0.11917098445595854, 0.19170984455958548]","[0.27586206896551724, 0.31521739130434784, 0.3448275862068966, 0.29333333333333333, 0.13026819923371646, 0.09195402298850575]"
120,20160903LTHT0,"[3.592741935483871, 1.3064516129032258, 2.0166666666666666, 6.613333333333333]","[0.31976744186046513, 0.39378238341968913, 0.3953488372093023, 0.22857142857142856, 0.16279069767441862, 0.05232558139534884]","[0.2872340425531915, 0.35799522673031026, 0.40425531914893614, 0.25252525252525254, 0.17287234042553193, 0.09840425531914894]","[0.3556085918854415, 0.39606126914660833, 0.5823389021479713, 0.4351851851851852, 0.18854415274463007, 0.21241050119331742]","[0.3111111111111111, 0.4557235421166307, 0.5861111111111111, 0.2897196261682243, 0.23055555555555557, 0.24166666666666667]","[0.31873479318734793, 0.36666666666666664, 0.5255474452554745, 0.30612244897959184, 0.14841849148418493, 0.18491484184914841]","[0.3, 0.3946078431372549, 0.5114285714285715, 0.32098765432098764, 0.18285714285714286, 0.1742857142857143]","[0.2862190812720848, 0.3525641025641026, 0.4840989399293286, 0.234375, 0.13427561837455831, 0.127208480565371]","[0.2706766917293233, 0.3096085409252669, 0.3383458646616541, 0.2894736842105263, 0.12781954887218044, 0.09022556390977443]","[0.2893401015228426, 0.3542600896860987, 0.5126903553299492, 0.3050847457627119, 0.1218274111675127, 0.20304568527918782]"
121,20160904LTHT0,"[6.622641509433962, 1.8679245283018866, 1.064516129032258, 1.4722222222222223]","[0, 0, 0, 0, 0, 0]","[0.2868421052631579, 0.35697399527186763, 0.4026315789473684, 0.25252525252525254, 0.17105263157894737, 0.09736842105263158]","[0.3546099290780142, 0.3947939262472885, 0.5791962174940898, 0.4351851851851852, 0.1867612293144208, 0.21040189125295508]","[0.29901960784313725, 0.38266384778012685, 0.5392156862745098, 0.29411764705882354, 0.18872549019607843, 0.21568627450980393]","[0.3180722891566265, 0.3656387665198238, 0.5253012048192771, 0.30612244897959184, 0.14698795180722893, 0.18313253012048192]","[0.2994350282485876, 0.3932038834951456, 0.5084745762711864, 0.3170731707317073, 0.1807909604519774, 0.17231638418079095]","[0.2926829268292683, 0.3575949367088608, 0.49825783972125437, 0.234375, 0.13588850174216027, 0.1289198606271777]","[0.285, 0.3495575221238938, 0.505, 0.3, 0.12, 0.2]","[0.27238805970149255, 0.31095406360424027, 0.33955223880597013, 0.2894736842105263, 0.12686567164179105, 0.08955223880597014]"
122,20160906HTSK0,"[3.5512572533849127, 1.3172147001934236, 2.375, 6.628205128205129]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0.2988826815642458, 0.3918269230769231, 0.5139664804469274, 0.3132530120481928, 0.18156424581005587, 0.17318435754189945]","[0.3559718969555035, 0.3956989247311828, 0.585480093676815, 0.4351851851851852, 0.18969555035128804, 0.20843091334894615]","[0.30339805825242716, 0.3857442348008386, 0.5485436893203883, 0.30578512396694213, 0.18932038834951456, 0.220873786407767]","[0.315035799522673, 0.3624454148471616, 0.5202863961813843, 0.30303030303030304, 0.14558472553699284, 0.18138424821002386]","[0.2896551724137931, 0.3542319749216301, 0.49310344827586206, 0.234375, 0.13448275862068965, 0.12758620689655173]","[0.2857142857142857, 0.34934497816593885, 0.5024630541871922, 0.3, 0.11822660098522167, 0.19704433497536947]","[0.2730627306273063, 0.3111888111888112, 0.33948339483394835, 0.2894736842105263, 0.12546125461254612, 0.08856088560885608]","[0.2838541666666667, 0.35362997658079626, 0.3984375, 0.25, 0.16927083333333334, 0.09635416666666667]"
123,20160907HTSK0,"[5.35929648241206, 1.6582914572864322, 1.8448275862068966, 5.306666666666667]","[0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.2823834196891192, 0.351981351981352, 0.3963730569948187, 0.25, 0.16839378238341968, 0.09585492227979274]","[0.35498839907192575, 0.39445628997867804, 0.5823665893271461, 0.4351851851851852, 0.18793503480278423, 0.20649651972157773]","[0.3004807692307692, 0.38253638253638256, 0.5432692307692307, 0.30327868852459017, 0.1875, 0.21875]","[0.3144208037825059, 0.36147186147186144, 0.5177304964539007, 0.3, 0.14420803782505912, 0.17966903073286053]","[0.28668941979522183, 0.35093167701863354, 0.4880546075085324, 0.234375, 0.13310580204778158, 0.12627986348122866]","[0.3157894736842105, 0.38095238095238093, 0.4473684210526316, 0.2857142857142857, 0.07894736842105263, 0.15789473684210525]","[0.28640776699029125, 0.34913793103448276, 0.5, 0.3, 0.11650485436893204, 0.1941747572815534]","[0.21428571428571427, 0.26666666666666666, 0.21428571428571427, 0.25, 0.2857142857142857, 0.10714285714285714]"
124,20160908NCHT0,"[4.090909090909091, 1.5454545454545454, 1.5, 1.8333333333333333]","[0.3, 0.4166666666666667, 0.4, 0.0, 0.0, 0.0]","[0.29476584022038566, 0.38717339667458434, 0.5068870523415978, 0.30952380952380953, 0.1790633608815427, 0.17079889807162535]","[0.35172413793103446, 0.39112050739957716, 0.5770114942528736, 0.43119266055045874, 0.18620689655172415, 0.2045977011494253]","[0.3014354066985646, 0.3835051546391753, 0.5430622009569378, 0.30327868852459017, 0.18899521531100477, 0.22009569377990432]","[0.31381733021077285, 0.3605150214592275, 0.522248243559719, 0.3, 0.1451990632318501, 0.18266978922716628]","[0.28716216216216217, 0.35276073619631904, 0.4864864864864865, 0.234375, 0.13175675675675674, 0.125]","[0.2802056555269923, 0.34953703703703703, 0.39331619537275064, 0.24752475247524752, 0.16709511568123395, 0.09511568123393316]","[0.28640776699029125, 0.34913793103448276, 0.5, 0.3, 0.11650485436893204, 0.1941747572815534]","[0.2690909090909091, 0.30689655172413793, 0.33454545454545453, 0.2894736842105263, 0.12363636363636364, 0.08727272727272728]"
